Time,4873_bt,6128_bt,1883_bt,1928_bt,9839_bt
0,31.0,27.0,30.0,22.0,36.0
60,31.0,27.0,29.873773447853214,21.87377344785321,35.87377344785322
120,32.50205995654348,28.502059956543476,31.952707625774917,20.953903211905327,36.48628580322208
180,32.29569790105404,29.645167372138825,34.263206463722554,19.289042195955986,37.623355195751955
240,31.759154799071162,28.811237595766006,33.74359615756361,17.96824650955446,38.688133361499304
300,30.24447123100439,28.34328373944315,34.62629864153742,18.556964688346103,36.93903924084285
360,28.58894620886715,27.819766657949547,37.13917460189298,19.64591908795234,32.49807520982026
420,27.32696073363227,26.264044778357484,35.601087209939905,18.63689583052006,32.39054063513187
480,26.246330045862344,24.59578181944631,34.1642621479491,18.59916162427795,32.914671483891794
540,26.533370115915424,25.97496171828841,32.36045749315507,21.084989218520974,31.882189138536287
600,25.68793006351945,25.565847918800394,31.000872096693485,20.65212371664799,33.95400038331798
660,24.218614089496683,24.7544969323903,30.428983737123573,19.897411451759215,33.57140529768401
720,23.755919978845288,23.41609998334303,32.98808882076239,18.98237653878771,32.88864015888623
780,26.087468058925644,23.569670953729656,35.29248327347989,18.681204372042796,32.116359396216275
840,24.601021626232345,24.625967049825743,37.395743506586406,21.08361572379524,33.930567632729776
900,23.167432955118837,23.6394453918639,38.038606100327904,19.599286661823644,34.828327825905866
960,21.560902148866454,23.5992241571171,36.91067735353474,18.677429475072998,33.85082282201683
1020,20.318588786378985,22.859825044219097,36.089849639818944,19.517472159281727,33.36024032823528
1080,19.24418346810743,21.97203560344296,35.462146079920004,20.643490418561733,35.97926396964944
1140,18.527219712848485,21.678115344555643,34.838549249247365,19.811529000662908,34.865101816052864
1200,19.50171238670928,22.625820051700195,33.448765497885596,20.48748017093374,35.51807374695881
1260,18.653648597682064,22.365053278100547,32.121170222837556,19.812161814655113,36.63653920392271
1320,19.94578556158309,25.019375348435382,30.900151481783574,18.961498266661938,35.81081809426333
1380,20.816288169705725,23.592251185672374,29.911606446598103,17.833111071513713,36.48704969252546
1440,21.748295381114488,24.96066241424929,28.811654810092428,18.532778182326503,35.81213132208552
1500,22.726256590694828,24.557833932386455,28.347421462340307,19.64309916227832,35.091236738084156
1560,21.82841184448063,27.045821006325152,28.151689206088747,19.378845986987532,36.92943718948642
1620,22.492533497691955,27.894112553361495,27.898966213303197,20.540745289898833,35.60627921439612
1680,21.81287131458223,30.210224697587705,29.925267128862945,23.12520293294254,36.956551049370276
1740,21.091261420307745,28.612192045111453,28.60142075362695,21.598654305790255,39.25023497768316
1800,20.040722473899862,29.97050606479308,28.601166024139843,20.33799116394706,37.13982137553509
1860,18.86648542643553,29.56282095720085,28.314997688907066,19.250600080065432,34.339801332860304
1920,20.98648358633799,28.75460833349296,29.52230991923546,18.529918947753103,32.34417036320676
1980,20.590443316881952,27.416180946863264,28.644160156177914,18.227339549404412,30.403425271926213
2040,20.28761210645797,26.27649894063591,27.37485830783019,18.09942442962712,29.018809561013228
2100,21.513277683623308,25.079068989762753,28.94934085921078,18.043987123808584,28.085251736430873
2160,22.65233501895211,23.531500861990587,31.25608917531234,19.492895476107627,27.4598823926241
2220,21.81238718536636,22.310276953976317,29.617733485531005,22.11533857303448,26.955605079392935
2280,22.488041132351604,21.085268539739392,29.619592748039015,24.339979083498378,26.1433746918448
2340,22.28280146437483,19.885095354516487,28.858577480134525,25.018107166344528,25.19847018269421
2400,23.523409135452628,19.0529042999235,27.970406824424998,24.56396077011965,25.52178127541703
2460,22.6432185543042,18.44637401203086,26.8368440494628,24.269957830840113,28.089745600269055
2520,21.203883716108336,20.97606291088129,28.984594715251372,24.123941149544486,27.65610852710116
2580,22.006278162779793,19.864566594419767,27.86967328593511,24.05604080710992,30.06564779827395
2640,20.651203289037007,19.069538876575805,28.51761922327671,26.98610575202358,29.639965957388046
2700,21.959646472504787,20.93183477278992,28.29777536116881,27.871171046280327,28.749986504693474
2760,20.6254109368008,19.85758026580182,27.76245083156641,26.86084105623897,28.622387477958352
2820,19.356387631670856,19.36366737956635,28.949298206370916,26.364546264424447,28.319604208117077
2880,19.55731748091438,19.157313338374674,27.87326507547725,25.81935026232046,28.149975109434838
2940,19.301486104113902,18.791912148126997,27.080330236460416,24.442274155912965,27.782970917385484
3000,19.143468978419012,18.627946842871474,26.03491516481204,23.610832262572096,26.757659069398994
3060,21.990135489784187,19.62085681982339,24.864023596484838,23.262312480358705,27.521895494940864
3120,22.872815881666646,18.81233677193046,25.537812162292603,24.49641874809586,28.64217138720078
3180,25.205774582382812,20.942501424733344,25.30941028447439,23.647097946192154,31.151422177955066
3240,24.716354836416148,23.269116217716398,26.52724544611981,24.945429095605732,33.350696066410904
3300,25.619604289070406,21.965738778248877,25.643276239962674,25.816399569879405,31.633442083217275
3360,28.138212494570375,22.55068896022958,24.37443888862941,24.849047628862948,32.9788509658663
3420,30.34613737899587,23.643777779174346,24.559890380051627,23.949567258657765,31.62475998135316
3480,28.63253135142012,23.37876987552453,24.302144102659806,23.672316123882037,30.18244079393506
3540,27.162833539069403,23.18383086711587,23.767644924855187,24.62541396184615,31.00395065729256
3600,28.00255687519595,22.779925559691378,22.751042767878598,25.68368402877782,31.81716200902158
3660,26.649061301216616,22.625121927581375,21.887065208839463,25.39946075574671,31.46291956446383
3720,26.611759336123995,21.72016596528301,20.46427735319794,24.756761670152287,34.0299458594577
3780,25.709607798827612,20.22761333185024,21.958107016557804,23.74630844672785,32.880655149242195
3840,26.95016840888741,21.010419201686098,24.25603782927447,25.980304892253432,32.06988108130465
3900,25.627841169585654,20.56405719374921,22.960919348501054,25.589006372903942,32.502440131298435
3960,25.60632806353848,19.759959377542476,22.410492093717846,24.749875656759386,33.62168393601487
4020,28.08772897973709,19.623523588094404,21.815393432007433,23.414040003547555,36.14585903713332
4080,28.91281687995645,20.621697779687125,22.953856229527574,22.598906923433578,34.91954999110513
4140,27.872507493600345,20.364242456071306,21.632407785508867,23.50920738713497,34.07247189624911
4200,27.369558827276173,21.537712105891522,22.957522715526544,24.643110061709088,34.50399992933016
4260,26.934475486379753,20.799961145378823,22.55483309867866,23.811276740352376,37.09115973920663
4320,28.92627134860733,20.33886080450336,21.89057798257397,25.943986356228475,36.657198935913584
4380,28.554426878893835,22.976951014504017,23.932474029834562,28.26967326738485,39.06587762935844
4440,27.887070660332085,23.864959459559113,26.263819569908286,26.618961825609933,38.640080586319655
4500,29.932699465394656,22.641839229899986,24.96370690946387,27.97400945922323,37.62969940544125
4560,29.559014787733705,23.954410752027297,26.988614831130892,28.830080061073797,38.05864062473782
4620,28.750390539964656,26.24811446716358,26.589750990603832,27.643101679294023,36.67551370902309
4680,27.743370825500733,25.738699363887296,25.8909556891505,27.605013716139506,35.71016662356471
4740,29.980560771758373,24.753782168345538,27.933586958033814,28.623529725894514,36.519883354808265
4800,32.28436466540208,23.413202873050082,28.835551550637867,29.68538022010983,35.80894112090937
4860,30.971656589990495,22.275243566361404,27.64080479249918,32.16120612568252,35.34275404571304
4920,32.990135113465726,21.078760144694865,27.60476210232377,34.3534320532725,34.93520822083705
4980,32.59046069268878,21.986946243919643,26.70990675188614,36.41386959810387,34.138475293225426
5040,35.053546981072536,20.889688309197403,25.22457363322233,37.04505885543235,35.931082671054405
5100,37.314540168356466,19.94654942451101,24.75796257239406,37.822813595860815,34.60760846171071
5160,38.007984881670765,20.96934243144604,27.087613977623764,40.18689789630629,33.17815946924657
5220,37.55924150755049,20.551196770600445,25.9007180788391,38.144680336591726,31.565130507488647
5280,37.26780182345037,23.042783500046703,25.072172269074667,35.06319542188488,31.609216833979268
5340,38.50973660523858,22.62834451005757,24.030990986415055,32.876041757127226,30.702460120410006
5400,36.863014335365854,22.306502619801165,22.515730560499396,32.70638126677653,31.949798435897616
5460,31.52481516479185,22.14160374087602,23.96405504119314,32.36141977742395,34.244113702535046
5520,28.096358484003552,22.064183413721285,26.256240692349998,31.89047332222323,36.37812351937248
5580,25.87537722099296,23.493751875384785,24.961023130329078,31.123090174756488,37.03189139452547
5640,24.408251381864915,24.647468425946013,24.41053267711499,32.93037739492344,36.57023410879391
5700,24.576412565103713,23.63431012533289,25.504332093178455,33.828049967266054,39.042615889021484
5760,23.694077429452562,23.598700917909973,26.646475778730753,33.47169143656582,39.892375182197995
5820,22.219830151549647,24.621761365333352,29.153259065393947,36.031591223194596,38.644331359005086
5880,20.5803300027304,23.81157206190944,27.602381597079226,35.62290305438055,38.607137345209736
5940,21.972803828079375,24.486056335614368,26.16388475931825,34.89334696201651,37.58848651226667
6000,20.87588087380082,23.668111985162966,24.36028286521475,34.116006680388665,38.05200776728927
6060,22.962782358362247,24.946138961629977,25.035917921868812,35.93071225653585,40.23540142791462
6120,22.576591542821085,23.870592783796297,27.24272217247432,34.857859035936,37.78902565081759
6180,21.75035491772004,23.07915441234983,29.374900368570785,36.96214845844625,33.43382499731608
6240,20.743327023574572,24.931570690937047,28.00765068890307,35.863522807519956,30.67372227728757
6300,19.88492693855347,23.60593103264094,27.084417085054927,36.51523880857465,28.486406975400378
6360,18.800526537622446,23.602115047147986,26.030141209631967,35.666559562946,26.44661921554527
6420,19.52830541306289,26.08799127034408,26.9792308123419,35.60262556501582,24.655684999063787
6480,19.306022175621397,24.89988960001339,29.239819356917536,34.861836340117705,24.63638513588157
6540,20.52706502199388,23.929488117649452,27.955025212829366,34.365210238031544,25.6347642744032
6600,19.64321931637984,22.819297256859905,27.40776743322143,33.824534768033146,26.688586615275224
6660,19.59806340208548,21.898064710217135,29.985881203065752,33.63683750253796,25.636159058942674
6720,20.620852355876508,20.284126022872016,28.59254004693531,33.323971976431054,25.599997690459716
6780,20.364451797630174,18.96885290380132,28.602294355602137,33.151614792642405,24.710207311606187
6840,20.17679462471993,18.415093513999352,28.31608436143281,32.78317244802935,23.224770435502776
6900,22.992567557849366,19.50596566044471,27.769979697840494,32.62580306037006,21.582012752615015
6960,21.868382457209663,20.646967976404728,26.752025502740757,31.870838124310186,20.14996454854354
7020,21.06882259125959,21.697773938215693,26.321732182509496,30.974438897425767,19.735817609047025
7080,20.453244123183918,22.712852759092705,27.498634224450687,30.67885891928708,19.363188616346562
7140,21.495496478656587,21.82503916074539,30.114103554530985,29.73189459274055,18.777082106510186
7200,20.800841367563752,22.49171352579401,28.908067708190796,28.73525157780444,19.950793030861675
7260,19.957114396182828,23.628917715901643,28.071177555115554,27.882992298137292,22.241377636801744
7320,19.67364410071297,23.37177722071577,29.933192405329162,27.65448387230701,20.616358826989597
7380,18.730860081959666,26.021006252879552,28.85795571817052,28.623894590333848,19.16373836271848
7440,18.61879861100974,28.305751203258897,30.962491035621813,27.643192859613954,17.917980559646622
7500,19.622154534041172,30.39987711774672,29.600332635608623,27.599910044470825,19.990773565882993
7560,20.684370356228882,29.815831660522065,29.602468734498274,27.312181769505177,20.860708287214802
7620,19.635986920877496,30.64473655795015,28.85706523822461,30.006464029239822,20.488068511308555
7680,19.599865440334785,29.820592251097736,30.93682332021959,32.30088616737439,19.75803674212053
7740,18.710211727896997,30.487122442908284,30.561935418464852,30.978049785117406,19.622172340779272
7800,18.61314890791659,29.81252191059985,30.27384958501654,32.991434462268934,19.319054841691237
7860,19.621564698567944,29.34437698492656,29.891852818023214,31.603465101602307,19.1496586244982
7920,20.6843429070745,30.490734824573217,30.476590260927136,30.173670768862877,21.989768228368685
7980,19.635964442401637,31.642894072199205,30.27378556475252,31.00264737707497,22.87260509830579
8040,20.949045431858472,31.379786161860746,30.132178149623197,31.81704354596926,21.642228588046176
8100,19.624807714565886,32.54110161759664,31.49873555971154,34.187020975068975,20.696397283436507
8160,20.9573192410261,32.32383829049135,32.64894855635477,32.93504985750019,20.298449791700264
8220,19.624347002410058,32.157742593912204,32.3830454824583,32.07467716144078,21.497800316190478
8280,18.68850110734318,33.50089019725975,31.756412609715227,32.50472050627601,20.797680975153753
8340,19.517225419006486,36.11705414630102,32.94961615602007,35.09124971917031,20.33798547858124
8400,18.808126970103018,36.928848677438836,32.54643971528493,33.90045301835155,19.820938959342357
8460,20.937793642560337,35.87686876625648,31.890544724762886,33.383290608062154,20.953733702895157
8520,21.839306771201898,35.08539938586439,31.117995923271916,32.81520171923352,23.240521418243144
8580,20.64085563933678,34.179107599712,30.474262360472068,31.440614295612267,21.616351991163032
8640,21.95356230024396,35.93424304116846,30.203172250814887,30.610131295219126,20.339886105963917
8700,20.87195640399487,36.82810579941533,29.796811410456794,29.85718127404961,19.567475231931454
8760,22.961171266102895,35.641167849036755,30.95122218393027,28.45447321839107,20.506300766511455
8820,22.575734232928998,34.366958559162136,29.87445804983363,27.12227537865291,21.643025366449756
8880,21.75033630606929,35.94958172437899,28.943525022782914,27.994600435810906,21.379474586235652
8940,22.951623392724105,34.86628958718241,28.671139332984353,27.559119156052006,22.540977202367067
9000,25.24277865655649,34.3673376257515,28.33731480892479,30.04280388982934,21.800422999858714
9060,25.976981348122926,36.98123755234657,28.15729591806301,28.59557557758274,23.93965920703476
9120,24.653402829657086,35.592079763909936,29.498833482571587,28.60529246965848,24.840315408513952
9180,23.367361235769778,34.67460188377588,28.795762115637526,27.856775712408652,27.197416383299707
9240,24.95020557706884,35.51630039849183,27.955115749019633,27.36303365874271,27.958742190395693
9300,25.8290369483541,36.643168243727416,26.30378986904802,29.976520027431953,28.796460242945937
9360,24.85152546788581,35.811464564467975,24.402014157744826,29.591708104835146,31.18243019911937
9420,23.949217734997916,36.487461736773525,25.04464194889512,29.288963588881657,29.6076708127609
9480,22.300956669257236,35.66789713314309,25.823304555246644,32.000021327385056,28.680796770228028
9540,20.40112601350974,34.708254819775235,28.18707587957194,34.2986476524576,29.51877363445954
9600,19.017940981782356,36.979431395489804,30.359807901380446,32.62343454409474,32.110672769881475
9660,19.56689439552074,39.284658642735536,31.025128691213073,31.1625413820006,34.33768306237502
9720,18.66833859342762,36.66177383905532,30.5671419671492,32.0022788682334,32.63078008057177
9780,17.70829670239585,31.798019291495823,29.89732960349804,30.649045878540964,31.162729849086716
9840,18.517006471468378,29.11413669415194,29.380524809219715,31.959480232397247,29.359040216624013
9900,19.64223890894089,28.800799248048357,31.975724466710716,34.24957816161083,28.80446367601558
9960,22.151592595392113,31.112214391990143,32.863919237420944,32.95852728951028,28.390945363344603
10020,22.9421719825192,29.603229522988435,35.20350616075342,32.0775097374605,31.00768465962486
10080,23.79163823304824,29.609727883740284,33.61090771350821,32.50580678518287,33.300416133027696
10140,22.643437332196537,29.319818631680562,32.16408414766779,31.824342282126977,31.623822964721327
10200,21.36885109272938,29.15096396679927,30.36011447069728,33.93585352055443,32.975840364808974
10260,20.261627524421638,28.782514302995974,28.416642971509727,32.85605743116804,31.877443977881917
10320,19.076087058513146,27.429651217959837,27.82522749964212,32.071384286834785,31.372081625286093
10380,19.986440048968905,28.953967960432408,28.647374931608958,31.032585190248955,30.81772274927202
10440,18.88949807761907,28.558712312068618,28.37280186954737,29.516364890494582,31.95372738827171
10500,19.512862063678185,28.27089448280134,27.759105850314388,28.64207329095809,31.546756794811362
10560,19.294429293964964,28.124906334461535,26.74733716732796,30.9822891157719,30.890995955331277
10620,22.010286631291486,27.892717679401237,27.520890191471263,30.591792693613495,30.377863628552188
10680,20.591378539391442,27.126845456836044,28.642199819575392,33.05473402661445,30.161922989299494
10740,19.674225329133467,26.194157128985367,29.695430320923435,31.889100975226967,32.98367616369336
10800,19.289315806047405,25.06349937212699,28.82109956279541,33.972965941200144,31.590411881763018
